ceref,name_en,website,email,telephone,address,fetched_at_utc,fetch_status
AAA022,K. L. Securities Company,,,,,2026-06-16T03:43:17.494392+00:00,ok
AAA113,Capital For Business Limited,,,,,2026-06-16T02:47:38.765569+00:00,ok
AAA118,New Gala Securities Company,,,,,2026-06-16T04:00:10.052594+00:00,ok
AAA121,JPMorgan Asset Management (Asia Pacific) Limited,www.jpmorgan.com.hk,investor.services@jpmorgan.com,,"20/F Chater House, 8 Connaught Road Central, Hong Kong",2026-06-16T03:40:27.308842+00:00,ok
AAA135,JPMorgan Funds (Asia) Limited,www.jpmorgan.com.hk,investor.services@jpmorgan.com,,"20/F Chater House, 8 Connaught Road Central, Hong Kong",2026-06-16T03:40:29.505769+00:00,ok
AAA137,Citigroup Global Markets Asia Limited,www.citigroup.com,wanda.yau@citi.com,,"Citi Tower, One Bay East, 83 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong",2026-06-16T02:47:40.746119+00:00,ok
AAA347,First Securities (HK) Limited,www.firstsechk.com,info@firstsechk.com,,"Room 1708-1710, 17/F, China Insurance Group Building, 141 Des Voeux Road Central, Hong Kong",2026-06-16T03:12:52.396466+00:00,ok
AAA348,Ko Kun Stock Company,,,,,2026-06-16T03:43:19.475494+00:00,ok
AAA419,Ko's Brother (Securities) Company,,,,,2026-06-16T03:43:21.453889+00:00,ok
AAA451,PFP Capital Limited,,andy.kong@pfpcapitalhk.com,,"Office 1002, 10/F, 8 Wyndham Street, Central, Hong Kong",2026-06-16T04:07:34.767825+00:00,ok
AAA460,Tung Shun & Company,,,,,2026-06-16T04:36:23.029833+00:00,ok
AAA502,Promising Securities Company,,,,,2026-06-16T04:07:36.746869+00:00,ok
AAA523,"Hongkong and Shanghai Banking Corporation Limited, The",,,,,2026-06-16T03:26:42.995462+00:00,ok
AAA529,HSBC Broking Securities (Hong Kong) Limited,www.hsbc.com.hk/broking,nettrader@hsbc.com.hk,,"Level 25  HSBC Main Building, 1 Queen's Road Central, Hong Kong",2026-06-16T03:26:45.118342+00:00,ok
AAA530,HSBC Broking Futures (Hong Kong) Limited,,hcbkregulatorycommunications@hsbc.com.hk,,"HSBC Main Building, 1 Queen's Road Central, Hong Kong",2026-06-16T03:26:47.247594+00:00,ok
AAA537,Rifa Securities Limited,www.rffg.com.hk,compliance@rffg.com.hk,,"Level 7, 28 Hennessy Road, Hong Kong",2026-06-16T04:17:53.970386+00:00,ok
AAA567,Barclays Capital Securities Asia Limited,,,,,2026-06-16T02:40:12.502382+00:00,ok
AAA582,Fubon Bank (Hong Kong) Limited,,,,,2026-06-16T03:12:54.537942+00:00,ok
AAA621,Chong Hing Bank Limited,,,,,2026-06-16T02:47:42.745230+00:00,ok
AAA635,FB Securities (Hong Kong) Limited,www.fubonbank.com.hk,fubonsec.fbhk@fubon.com,,"Fubon Bank Building, 38 Des Voeux Road Central, Hong Kong",2026-06-16T03:12:56.654412+00:00,ok
AAA645,Ho Fung Shares Investment Company,,,,,2026-06-16T03:26:49.363956+00:00,ok
